Object Type,Property,Name,English [en-US],Spanish [es-ES]
Table,Caption,Endeudamiento,Endeudamiento,Endeudamiento
Column,Caption,Endeudamiento[FECHA],FECHA,FECHA
Column,Caption,Endeudamiento[ORIGEN],ORIGEN,ORIGEN
Column,Caption,Endeudamiento[DESCRIPCION],DESCRIPCION,DESCRIPCION
Column,Caption,Endeudamiento[CD_BANCO],CD_BANCO,CD_BANCO
Column,Caption,Endeudamiento[DS_ALIAS_BANCO],DS_ALIAS_BANCO,DS_ALIAS_BANCO
Column,Caption,Endeudamiento[CD_CUENTA],CD_CUENTA,CD_CUENTA
Column,Caption,Endeudamiento[TIPO_CUENTA],TIPO_CUENTA,TIPO_CUENTA
Column,Caption,Endeudamiento[DS_NOMBRE_CUENTA],DS_NOMBRE_CUENTA,DS_NOMBRE_CUENTA
Column,Caption,Endeudamiento[LIMITE],LIMITE,LIMITE
Column,Caption,Endeudamiento[DISPUESTO],DISPUESTO,DISPUESTO
Column,Caption,Endeudamiento[DISPONIBLE],DISPONIBLE,DISPONIBLE
Column,Caption,Endeudamiento[AMORTIZACIÓN],AMORTIZACIÓN,AMORTIZACIÓN
Column,Caption,Endeudamiento[EMPRESA],EMPRESA,EMPRESA
Measure,Caption,Endeudamiento[Amortizado (Endeudamiento)],Amortizado (Endeudamiento),Amortizado (Endeudamiento)
Measure,Caption,Endeudamiento[Disponible (Endeudamiento)],Disponible (Endeudamiento),Disponible (Endeudamiento)
Measure,Caption,Endeudamiento[Dispuesto (Endeudamiento)],Dispuesto (Endeudamiento),Dispuesto (Endeudamiento)
Measure,Caption,Endeudamiento[Límite (Endeudamiento)],Límite (Endeudamiento),Límite (Endeudamiento)
Table,Caption,FechasCierre,FechasCierre,FechasCierre
Column,Caption,FechasCierre[CD_CUENTA],CD_CUENTA,CD_CUENTA
Column,Caption,FechasCierre[FC_CIERRE],FC_CIERRE,FC_CIERRE
Measure,Caption,FechasCierre[Fecha Cierre Sel.],Fecha Cierre Sel.,Fecha Cierre Sel.
Measure,Caption,FechasCierre[Cierre Seleccionado],Cierre Seleccionado,Cierre Seleccionado
